2024-06-27 17:39:58,045 - INFO - Starting Fold 1
2024-06-27 17:39:58,574 - INFO - Loading pretrained weights from Hugging Face hub (timm/seresnext101_32x4d.gluon_in1k)
2024-06-27 17:39:59,208 - INFO - [timm/seresnext101_32x4d.gluon_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2024-06-27 17:39:59,274 - INFO - Missing keys (fc.weight, fc.bias) discovered while loading pretrained weights. This is expected if model is being adapted.
2024-06-27 17:42:12,435 - INFO - Starting Fold 1
2024-06-27 17:42:12,981 - INFO - Loading pretrained weights from Hugging Face hub (timm/seresnext101_32x4d.gluon_in1k)
2024-06-27 17:42:13,252 - INFO - [timm/seresnext101_32x4d.gluon_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2024-06-27 17:42:13,318 - INFO - Missing keys (fc.weight, fc.bias) discovered while loading pretrained weights. This is expected if model is being adapted.
2024-06-27 17:46:12,383 - INFO - Starting Fold 1
2024-06-27 17:46:12,921 - INFO - Loading pretrained weights from Hugging Face hub (timm/seresnext101_32x4d.gluon_in1k)
2024-06-27 17:46:13,192 - INFO - [timm/seresnext101_32x4d.gluon_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2024-06-27 17:46:13,256 - INFO - Missing keys (fc.weight, fc.bias) discovered while loading pretrained weights. This is expected if model is being adapted.
2024-06-27 17:47:19,659 - INFO - Epoch 21: Train Loss: 0.088050, Train Acc: 0.989796, Train F1: 0.985705, Valid Loss: 0.726195, Valid Acc: 0.653061, Valid F1: 0.536357
2024-06-27 17:47:22,946 - INFO - Epoch 22: Train Loss: 0.108614, Train Acc: 0.977891, Train F1: 0.978114, Valid Loss: 0.691450, Valid Acc: 0.680272, Valid F1: 0.597200
2024-06-27 17:47:23,234 - INFO - New best F1-score 0.5972 achieved at epoch 21, model saved at ./models/model_fold_0_f1-0.597_loss-0.691_seresnext101_32x4d.pt
2024-06-27 17:47:26,263 - INFO - Epoch 23: Train Loss: 0.066766, Train Acc: 0.994898, Train F1: 0.995222, Valid Loss: 0.756146, Valid Acc: 0.673469, Valid F1: 0.548205
2024-06-27 17:47:29,241 - INFO - Epoch 24: Train Loss: 0.097703, Train Acc: 0.982993, Train F1: 0.983862, Valid Loss: 0.864757, Valid Acc: 0.693878, Valid F1: 0.555232
2024-06-27 17:47:32,157 - INFO - Epoch 25: Train Loss: 0.091491, Train Acc: 0.984694, Train F1: 0.983695, Valid Loss: 0.699359, Valid Acc: 0.625850, Valid F1: 0.445998
2024-06-27 17:47:35,168 - INFO - Epoch 26: Train Loss: 0.078386, Train Acc: 0.991497, Train F1: 0.992142, Valid Loss: 0.726542, Valid Acc: 0.625850, Valid F1: 0.519369
2024-06-27 17:47:38,127 - INFO - Epoch 27: Train Loss: 0.061140, Train Acc: 0.991497, Train F1: 0.992401, Valid Loss: 0.722231, Valid Acc: 0.646259, Valid F1: 0.559428
2024-06-27 17:47:41,004 - INFO - Epoch 28: Train Loss: 0.074994, Train Acc: 0.981293, Train F1: 0.982977, Valid Loss: 0.622979, Valid Acc: 0.666667, Valid F1: 0.594601
2024-06-27 17:47:43,922 - INFO - Epoch 29: Train Loss: 0.085236, Train Acc: 0.991497, Train F1: 0.987866, Valid Loss: 0.617877, Valid Acc: 0.659864, Valid F1: 0.581744
